postalCode;airport;price
4681;Aéroport de Charleroi;166
4682;Aéroport de Charleroi;166
4683;Aéroport de Charleroi;163
4684;Aéroport de Charleroi;172
4690;Aéroport de Charleroi;168
4700;Aéroport de Charleroi;205
4701;Aéroport de Charleroi;199
4710;Aéroport de Charleroi;197
4711;Aéroport de Charleroi;199
4720;Aéroport de Charleroi;200
4721;Aéroport de Charleroi;201
4728;Aéroport de Charleroi;202
4730;Aéroport de Charleroi;204
4731;Aéroport de Charleroi;204
4750;Aéroport de Charleroi;239
4760;Aéroport de Charleroi;257
4761;Aéroport de Charleroi;252
4770;Aéroport de Charleroi;235
4771;Aéroport de Charleroi;246
4780;Aéroport de Charleroi;238
4782;Aéroport de Charleroi;258
4783;Aéroport de Charleroi;243
4784;Aéroport de Charleroi;239
4790;Aéroport de Charleroi;255
4791;Aéroport de Charleroi;247
4800;Aéroport de Charleroi;186
4801;Aéroport de Charleroi;193
4802;Aéroport de Charleroi;188
4820;Aéroport de Charleroi;182
4821;Aéroport de Charleroi;187
4830;Aéroport de Charleroi;196
4831;Aéroport de Charleroi;185
